Province.State,Confirmed,Deaths
Alabama,899,10
Alaska,114,3
American Samoa,0,0
Arizona,1157,20
Arkansas,473,7
California,7138,146
Colorado,2311,47
Connecticut,2571,36
Delaware,264,6
Diamond Princess,49,0
District of Columbia,401,9
Florida,5473,63
Georgia,2808,87
Grand Princess,103,3
Guam,58,1
Hawaii,175,0
Idaho,340,6
Illinois,5056,73
Indiana,1786,35
Iowa,424,6
Kansas,372,8
Kentucky,479,11
Louisiana,4025,185
Maine,275,3
Maryland,1413,15
Massachusetts,5752,56
Michigan,6498,184
Minnesota,576,10
Mississippi,847,16
Missouri,1051,13
Montana,171,5
Nebraska,145,2
Nevada,1012,15
New Hampshire,314,3
New Jersey,16636,198
New Mexico,237,2
New York,66663,1218
North Carolina,1313,7
North Dakota,109,2
Northern Mariana Islands,0,0
Ohio,1933,40
Oklahoma,481,16
Oregon,606,16
Pennsylvania,4155,50
Puerto Rico,174,6
Recovered,0,0
Rhode Island,408,4
South Carolina,925,18
South Dakota,101,1
Tennessee,1917,14
Texas,3147,45
Utah,804,4
Vermont,256,12
Virgin Islands,30,0
Virginia,1020,15
Washington,4923,205
West Virginia,145,1
Wisconsin,1230,20
Wyoming,94,0
