state,FIPS,abrv,county
Alabama,01,AL,Autauga
Alabama,01,AL,Baldwin
Alabama,01,AL,Barbour
Alabama,01,AL,Bibb
Alabama,01,AL,Blount
Alabama,01,AL,Bullock
Alabama,01,AL,Butler
Alabama,01,AL,Calhoun
Alabama,01,AL,Chambers
Alabama,01,AL,Cherokee
Alabama,01,AL,Chilton
Alabama,01,AL,Choctaw
Alabama,01,AL,Clarke
Alabama,01,AL,Clay
Alabama,01,AL,Cleburne
Alabama,01,AL,Coffee
Alabama,01,AL,Colbert
Alabama,01,AL,Conecuh
Alabama,01,AL,Coosa
Alabama,01,AL,Covington
Alabama,01,AL,Crenshaw
Alabama,01,AL,Cullman
Alabama,01,AL,Dale
Alabama,01,AL,Dallas
Alabama,01,AL,DeKalb
Alabama,01,AL,Elmore
Alabama,01,AL,Escambia
Alabama,01,AL,Etowah
Alabama,01,AL,Fayette
Alabama,01,AL,Franklin
Alabama,01,AL,Geneva
Alabama,01,AL,Greene
Alabama,01,AL,Hale
Alabama,01,AL,Henry
Alabama,01,AL,Houston
Alabama,01,AL,Jackson
Alabama,01,AL,Jefferson
Alabama,01,AL,Lamar
Alabama,01,AL,Lauderdale
Alabama,01,AL,Lawrence
Alabama,01,AL,Lee
Alabama,01,AL,Limestone
Alabama,01,AL,Lowndes
Alabama,01,AL,Macon
Alabama,01,AL,Madison
Alabama,01,AL,Marengo
Alabama,01,AL,Marion
Alabama,01,AL,Marshall
Alabama,01,AL,Mobile
Alabama,01,AL,Monroe
Alabama,01,AL,Montgomery
Alabama,01,AL,Morgan
Alabama,01,AL,Perry
Alabama,01,AL,Pickens
Alabama,01,AL,Pike
Alabama,01,AL,Randolph
Alabama,01,AL,Russell
Alabama,01,AL,Shelby
Alabama,01,AL,St. Clair
Alabama,01,AL,Sumter
Alabama,01,AL,Talladega
Alabama,01,AL,Tallapoosa
Alabama,01,AL,Tuscaloosa
Alabama,01,AL,Walker
Alabama,01,AL,Washington
Alabama,01,AL,Wilcox
Alabama,01,AL,Winston
Alaska,02,AK,Aleutians East
Alaska,02,AK,Aleutians West
Alaska,02,AK,Anchorage
Alaska,02,AK,Bethel
Alaska,02,AK,Bristol Bay
Alaska,02,AK,Denali
Alaska,02,AK,Dillingham
Alaska,02,AK,Fairbanks North Star
Alaska,02,AK,Haines
Alaska,02,AK,Hoonah-Angoon
Alaska,02,AK,Juneau
Alaska,02,AK,Kenai Peninsula
Alaska,02,AK,Ketchikan Gateway
Alaska,02,AK,Kodiak Island
Alaska,02,AK,Lake and Peninsula
Alaska,02,AK,Matanuska-Susitna
Alaska,02,AK,Nome
Alaska,02,AK,North Slope
Alaska,02,AK,Northwest Arctic
Alaska,02,AK,Petersburg
Alaska,02,AK,Prince of Wales-Hyder
Alaska,02,AK,Sitka
Alaska,02,AK,Skagway
Alaska,02,AK,Southeast Fairbanks
Alaska,02,AK,Valdez-Cordova
Alaska,02,AK,Wade Hampton
Alaska,02,AK,Wrangell
Alaska,02,AK,Yakutat
Alaska,02,AK,Yukon-Koyukuk
Arizona,04,AZ,Apache
Arizona,04,AZ,Cochise
Arizona,04,AZ,Coconino
Arizona,04,AZ,Gila
Arizona,04,AZ,Graham
Arizona,04,AZ,Greenlee
Arizona,04,AZ,La Paz
Arizona,04,AZ,Maricopa
Arizona,04,AZ,Mohave
Arizona,04,AZ,Navajo
Arizona,04,AZ,Pima
Arizona,04,AZ,Pinal
Arizona,04,AZ,Santa Cruz
Arizona,04,AZ,Yavapai
Arizona,04,AZ,Yuma
Arkansas,05,AR,Arkansas
Arkansas,05,AR,Ashley
Arkansas,05,AR,Baxter
Arkansas,05,AR,Benton
Arkansas,05,AR,Boone
Arkansas,05,AR,Bradley
Arkansas,05,AR,Calhoun
Arkansas,05,AR,Carroll
Arkansas,05,AR,Chicot
Arkansas,05,AR,Clark
Arkansas,05,AR,Clay
Arkansas,05,AR,Cleburne
Arkansas,05,AR,Cleveland
Arkansas,05,AR,Columbia
Arkansas,05,AR,Conway
Arkansas,05,AR,Craighead
Arkansas,05,AR,Crawford
Arkansas,05,AR,Crittenden
Arkansas,05,AR,Cross
Arkansas,05,AR,Dallas
Arkansas,05,AR,Desha
Arkansas,05,AR,Drew
Arkansas,05,AR,Faulkner
Arkansas,05,AR,Franklin
Arkansas,05,AR,Fulton
Arkansas,05,AR,Garland
Arkansas,05,AR,Grant
Arkansas,05,AR,Greene
Arkansas,05,AR,Hempstead
Arkansas,05,AR,Hot Spring
Arkansas,05,AR,Howard
Arkansas,05,AR,Independence
Arkansas,05,AR,Izard
Arkansas,05,AR,Jackson
Arkansas,05,AR,Jefferson
Arkansas,05,AR,Johnson
Arkansas,05,AR,Lafayette
Arkansas,05,AR,Lawrence
Arkansas,05,AR,Lee
Arkansas,05,AR,Lincoln
Arkansas,05,AR,Little River
Arkansas,05,AR,Logan
Arkansas,05,AR,Lonoke
Arkansas,05,AR,Madison
Arkansas,05,AR,Marion
Arkansas,05,AR,Miller
Arkansas,05,AR,Mississippi
Arkansas,05,AR,Monroe
Arkansas,05,AR,Montgomery
Arkansas,05,AR,Nevada
Arkansas,05,AR,Newton
Arkansas,05,AR,Ouachita
Arkansas,05,AR,Perry
Arkansas,05,AR,Phillips
Arkansas,05,AR,Pike
Arkansas,05,AR,Poinsett
Arkansas,05,AR,Polk
Arkansas,05,AR,Pope
Arkansas,05,AR,Prairie
Arkansas,05,AR,Pulaski
Arkansas,05,AR,Randolph
Arkansas,05,AR,Saline
Arkansas,05,AR,Scott
Arkansas,05,AR,Searcy
Arkansas,05,AR,Sebastian
Arkansas,05,AR,Sevier
Arkansas,05,AR,Sharp
Arkansas,05,AR,St. Francis
Arkansas,05,AR,Stone
Arkansas,05,AR,Union
Arkansas,05,AR,Van Buren
Arkansas,05,AR,Washington
Arkansas,05,AR,White
Arkansas,05,AR,Woodruff
Arkansas,05,AR,Yell
California,06,CA,Alameda
California,06,CA,Alpine
California,06,CA,Amador
California,06,CA,Butte
California,06,CA,Calaveras
California,06,CA,Colusa
California,06,CA,Contra Costa
California,06,CA,Del Norte
California,06,CA,El Dorado
California,06,CA,Fresno
California,06,CA,Glenn
California,06,CA,Humboldt
California,06,CA,Imperial
California,06,CA,Inyo
California,06,CA,Kern
California,06,CA,Kings
